,posture,x,y,speed,traitement,breed,temperature,time,200002,200004,200011,200013,200014,204926,204927,204938,204945,204946,num_nb,degree,close,bet,pr,204946==False AND bet>=0.06,204938==True AND bet>=0.06,200011==True AND 204946==False,204946==False AND pr>=0.11,200002==False AND bet>=0.06,204946==False AND num_nb: [3.0:4.0[,204946==False AND degree: [0.33:0.44[,204938==False AND num_nb: [3.0:4.0[,204938==False AND degree: [0.33:0.44[,204938==False AND 204946==False,200014==False AND y>=132.23,pr: [0.07:0.08[ AND y>=132.23,pr: [0.07:0.08[ AND speed: [0.80:1.92[,bet: [0.01:0.02[ AND y>=132.23,pr: [0.07:0.08[ AND temperature<28.50,200004==False AND temperature: [29.0:29.50[	,speed>=19.89,speed>=19.89 AND traitement==1.0,breed==0.0 AND speed>=19.89,200002==False AND speed>=19.89,speed: [4.28:19.89[,speed: [4.28:19.89[ AND traitement==1.0	,breed==0.0 AND speed: [4.28:19.89[	,200002==False AND speed: [4.28:19.89[	,204927==True
10,1.0,32.3873812206927,66.6168617053557,9.869117955140188,1.0,0.0,29.0,2020-06-24 13:30:00,False,True,True,False,True,True,True,False,False,False,5.0,0.5555555555555556,0.6923076923076923,0.012566137566137564,0.08723255110460165,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
11,4.0,2.67961605073717,63.4968619079998,7.1102296514407595,1.0,0.0,29.0,2020-06-24 14:00:00,False,True,True,False,True,True,True,True,False,True,7.0,0.7777777777777777,0.8181818181818182,0.18981481481481483,0.1467398089850251,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
12,4.0,27.5083575579951,66.7887631282107,4.18632419843104,1.0,0.0,29.0,2020-06-24 14:30:00,False,False,True,False,False,True,True,True,True,False,5.0,0.5555555555555556,0.6923076923076923,0.027777777777777776,0.08623669803978364,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
13,5.0,136.031461462015,72.1606408217398,26.540806012121898,1.0,0.0,29.0,2020-06-24 15:00:00,False,False,True,True,False,True,False,True,True,False,5.0,0.5555555555555556,0.6923076923076923,0.016699735449735447,0.08530571954791212,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
14,5.0,147.15254652063498,61.56761747233029,6.18603511775172,1.0,0.0,29.0,2020-06-24 15:30:00,False,False,False,True,True,False,False,True,False,False,3.0,0.3333333333333333,0.6,0.003968253968253968,0.06758695343999473,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
15,5.0,11.098718976346,65.93013152757811,4.2692297556051,1.0,0.0,29.0,2020-06-24 16:00:00,False,True,True,False,False,True,True,False,True,True,6.0,0.6666666666666666,0.75,0.05972222222222222,0.09874722028604772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
16,5.0,33.7539778166245,80.9365957563153,6.907248368555041,1.0,0.0,29.0,2020-06-24 16:30:00,False,True,True,False,False,True,True,True,True,True,7.0,0.7777777777777777,0.8181818181818182,0.10648148148148147,0.1257844182839966,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
17,3.0,39.4101167448758,127.289255370258,1.79917422764736,1.0,0.0,29.0,2020-06-24 17:00:00,False,True,False,True,False,True,True,True,True,True,7.0,0.7777777777777777,0.8181818181818182,0.040079365079365076,0.11019221701823681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
18,5.0,100.303036256333,130.603625879519,4.563353178544539,1.0,0.0,29.0,2020-06-24 17:30:00,False,False,True,True,False,True,True,True,True,True,7.0,0.7777777777777777,0.8181818181818182,0.0623015873015873,0.117350552709737,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
19,2.0,118.94177267117901,121.326202127204,1.21839930728544,1.0,0.0,29.0,2020-06-24 18:00:00,False,False,True,False,False,True,False,True,True,True,5.0,0.5555555555555556,0.6923076923076923,0.03518518518518518,0.09856259685358164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
