,number of clusters,silhouette score
0,2,0.5253006185040221
1,3,0.5497084287963099
2,4,0.5940063035732417
3,5,0.582268869986579
4,6,0.6246481175378046
5,7,0.6510667768077651
6,8,0.6552181210058253
7,9,0.6313828484153018
8,10,0.640515461100074
9,11,0.6268327013361491
10,12,0.648091976818953
11,13,0.6110043383519733
12,14,0.6252649373097209
